20075,Villabona,87
01057,Villabuena de Álava/Eskuernaga,111
01059,Vitoria-Gasteiz,85
01060,Yécora/Iekora,122
48095,Zaldibar,88
20078,Zaldibia,92
01061,Zalduondo,135
48096,Zalla,88
01062,Zambrana,120
48905,Zamudio,93
48097,Zaratamo,86
20079,Zarautz,88
48024,Zeanuri,122
48025,Zeberio,123
20025,Zegama,96
20026,Zerain,153
20027,Zestoa,108
48913,Zierbena,94
01018,Zigoitia,164
48915,Ziortza-Bolibar,108
20028,Zizurkil,92
01063,Zuia,159
20081,Zumaia,90
20080,Zumarraga,83
